framework,model,profile,concurrency,duration_s,completed,failed,total_input_tokens,total_output_tokens,output_tok_s,total_tok_s,out_tok_s_per_gpu,total_tok_s_per_gpu,mean_tpot_ms,mean_ttft_ms,p99_ttft_ms,mean_e2e_ms,mean_itl_ms,interactivity,cost_per_mtok_out,cost_per_mtok_total
sglang,kimi-k2.5,1k1k,1,240.5737645180052,40,0,40960,40960,170.25962944074246,340.5192588814849,21.282453680092807,42.564907360185614,5.624104538343154,260.2267231508449,2124.708507069152,6013.685665875892,5.628356195431296,177.80608329421224,53.513044407759395,26.756522203879697
sglang,kimi-k2.5,1k1k,2,132.24944592999236,40,0,40960,40960,309.71774370746783,619.4354874149357,38.71471796343348,77.42943592686696,6.084828031427467,386.6972938005347,609.0223942096054,6611.476369950833,6.087187594490148,164.3431819001474,29.41746572878519,14.708732864392594
sglang,kimi-k2.5,1k1k,4,72.75600686699909,40,0,40960,40960,562.9775707025336,1125.9551414050673,70.3721963378167,140.7443926756334,6.71591292280076,403.2906525004364,627.94491524357,7273.669572525614,6.720826193763269,148.90008424691823,16.18379058999003,8.091895294995014
sglang,kimi-k2.5,1k1k,8,82.85505814899807,80,0,81920,81920,988.7145314976841,1977.4290629953682,123.58931643721051,247.17863287442103,7.700662369770707,405.1715480885832,632.8317447731388,8282.949152364017,7.705828639358962,129.85895913649514,9.21510792130241,4.607553960651205
sglang,kimi-k2.5,1k1k,16,105.30551829400065,160,0,163840,163840,1555.8538873772782,3111.7077747545563,194.48173592215977,388.96347184431954,9.725976352193397,577.3779984626344,995.8539487038797,10527.05180675648,9.742113400264355,102.81744102477491,5.856019761900535,2.9280098809502677
sglang,kimi-k2.5,1k1k,32,132.55890407600964,320,0,327680,327680,2471.9576725838606,4943.915345167721,308.9947090729826,617.9894181459651,12.170762811708682,798.5137176438911,1116.1348896440177,13249.204074021873,12.192757660013665,82.16411867282193,3.6857876702992036,1.8428938351496018
sglang,kimi-k2.5,1k1k,64,254.10301324000466,640,0,655360,655360,2579.111485706788,5158.222971413576,322.3889357133485,644.777871426697,23.580576295794806,1274.4078502858201,1897.0090915361652,25397.337400883906,23.62360836668892,42.40778458745018,3.532655009914887,1.7663275049574434
sglang,kimi-k2.5,1k1k,128,505.06870447400433,1280,0,1310720,1310720,2595.132084782462,5190.264169564924,324.3915105978077,648.7830211956154,46.93813732800343,2462.19513311255,2994.527727867826,50479.90961966006,47.02547264854659,21.3046374851223,3.5108467752133135,1.7554233876066567
sglang,minimax-m2.7,1k1k,1,391.8433557719982,40,0,40960,40960,104.5315670066724,209.0631340133448,13.06644587583405,26.1328917516681,9.531243294697306,44.875502074864926,56.38347896601772,9795.33739255021,10.02539304725194,104.91810659752528,87.1613367331376,43.5806683665688
sglang,minimax-m2.7,1k1k,2,246.60037773099612,40,0,40960,40960,166.0986912383451,332.1973824766902,20.76233640479314,41.52467280958628,12.013315328248762,38.9658787753433,45.71300193987553,12328.587459573828,12.745548460236618,83.24096826531688,54.85359964719422,27.42679982359711
