framework,model,profile,concurrency,mean_ttft_ms,mean_tpot_ms,prefill_fraction,cost_per_mtok_in,cost_per_mtok_out_split,output_to_input_price_ratio,cost_per_mtok_out_blended
sglang,kimi-k2.5,1k1k,1,260.2267231508449,5.624104538343154,0.043272418548158845,2.3156388553987757,51.19740555236062,22.109408569042138,53.513044407759395
sglang,kimi-k2.5,1k1k,2,386.6972938005347,6.084828031427467,0.058488796172376005,1.7205921569187737,27.69687357186642,16.09729154029495,29.417465728785192
sglang,kimi-k2.5,1k1k,4,403.2906525004364,6.71591292280076,0.05544528088322317,0.8973148150172612,15.286475774972768,17.035800054943603,16.18379058999003
sglang,kimi-k2.5,1k1k,8,405.1715480885832,7.700662369770707,0.04891633893139911,0.4507693423678494,8.76433857893456,19.44306711919738,9.215107921302408
sglang,kimi-k2.5,1k1k,16,577.3779984626344,9.725976352193396,0.0548470748564248,0.3211855542416615,5.5348342076588715,17.23251290278901,5.856019761900533
sglang,kimi-k2.5,1k1k,32,798.5137176438911,12.170762811708682,0.06026880657756355,0.2221380241872313,3.4636496461119726,15.592331203921216,3.6857876702992045
sglang,kimi-k2.5,1k1k,64,1274.40785028582,23.58057629579481,0.050178797492427936,0.17726438035313002,3.355390629561755,18.92873584009066,3.5326550099148855
sglang,kimi-k2.5,1k1k,128,2462.19513311255,46.93813732800343,0.04877574369019108,0.17124416244333848,3.339602612769975,19.501993908113437,3.5108467752133135
sglang,minimax-m2.7,1k1k,1,44.875502074864926,9.531243294697306,0.004581312544578071,0.3993133253777167,86.76202340775988,217.27805683842465,87.1613367331376
sglang,minimax-m2.7,1k1k,2,38.9658787753433,12.013315328248762,0.0031606117816104025,0.17337093330866227,54.68022871388556,315.3944416768825,54.85359964719422
sglang,minimax-m2.7,1k1k,4,39.961760274673,10.731151136559864,0.0036269755343223123,0.08890945731642874,24.42447820550969,274.71181292427616,24.51338766282612
sglang,minimax-m2.7,1k1k,8,85.39812617509597,11.432924226197184,0.007248629096765659,0.09500452056006467,13.01154559971795,136.95712080870578,13.106550120278015
sglang,minimax-m2.7,1k1k,16,149.759592655937,12.745151327554192,0.011355704555329447,0.08330631895505557,7.252770324211777,87.06146682732081,7.336076643166833
sglang,minimax-m2.7,1k1k,32,214.23991227538863,15.284909849486958,0.013516114489581574,0.05959364545267335,4.349487492370555,72.98575979589512,4.409081137823229
sglang,minimax-m2.7,1k1k,64,532.7767868577666,19.90815759966856,0.025493149162628268,0.0741147431390626,2.833126832480448,38.22622480340531,2.9072415756195107
sglang,minimax-m2.7,1k1k,128,959.237832550548,22.05311119319955,0.04078466607872458,0.0667507186513515,1.5699114161447496,23.519018938876453,1.6366621347961012
sglang,minimax-m2.7,1k1k,256,1813.857485026557,28.007297171115894,0.05953843047477183,0.06320727411292278,0.9984141628126867,15.795874396180615,1.0616214369256094
sglang,minimax-m2.7,1k1k,512,3483.9066182817733,46.20222131060606,0.06865005790533878,0.06082143564480329,0.8251419196763192,13.566630102175516,0.8859633553211225
vllm,minimax-m2.7,1k1k,1,121.20443635176343,13.54236932074695,0.008672917200050678,1.0784371356334312,123.2669371782283,114.30145819841987,124.34537431386174
vllm,minimax-m2.7,1k1k,2,28.677810400768067,15.641004477956251,0.001789072889427685,0.12758524640187593,71.18602481153701,557.9487191435195,71.31361005793889
vllm,minimax-m2.7,1k1k,4,31.903250375398784,12.547950266617836,0.002479182386010626,0.07097050020869239,28.555604377525295,402.3587870108859,28.626574877733987
vllm,minimax-m2.7,1k1k,8,126.60849923722708,13.228661849035044,0.00926887698298758,0.1408363854270786,15.053710449704578,106.88793527365125,15.194546835131657
vllm,minimax-m2.7,1k1k,16,160.01328836255198,14.71336833816018,0.010519031478054738,0.08900066154017723,8.371917221047616,94.06578643539984,8.460917882587793
vllm,minimax-m2.7,1k1k,32,183.0913044999761,17.804118873668358,0.009952396658704505,0.05092936167457189,5.066366845568973,99.4783103299431,5.1172962072435455
vllm,minimax-m2.7,1k1k,64,234.102746516146,22.64801609093476,0.010003098507405597,0.03256297154397982,3.2227255293012798,98.96902452371829,3.2552885008452597
vllm,minimax-m2.7,1k1k,128,311.6579218383663,26.444649981101897,0.01138911819689965,0.021688956937670964,1.8826689189490804,86.80311018918219,1.9043578758867514
vllm,minimax-m2.7,1k1k,256,458.37679257661534,34.02379416971831,0.012998169717689313,0.015953664829278045,1.2114241257196925,75.93390852091214,1.2273777905489704
vllm,minimax-m2.7,1k1k,512,791.3621119187155,50.15157174167795,0.015190335763248049,0.0137821305179226,0.8935138458664506,64.83132957596828,0.9072959763843732
